id,fraud,roa,leverage,operate_cashflow,industry,account_receivable,inventory,firm_size,audit,profit_sales,sales_totalasset
AAA.2019,0.0,0.0614750160593481,0.5924561032136575,489340910473.0,8,541476888008.0,358753736223.0,29.708893196464683,0.0,0.052922564195843645,1.1616031270112972
AAA.2020,0.0,0.03304459294779764,0.5304273699175257,612538718206.0,8,-332565586570.0,-274693587053.0,29.779220514920933,0.0,0.03806981799511845,0.867999761701903
AAA.2021,0.0,0.03238345190832058,0.4550809507994852,443620282772.0,8,231354105390.0,50575455825.0,29.934558418955792,0.0,0.02464214533705711,1.3141490509603486
AAA.2022,0.0,0.01086449479118826,0.42837337337406983,97095210426.0,8,-434702202542.0,792706522419.0,30.01018131279007,0.0,0.007658738429406706,1.418574990036563
AAA.2023,0.0,0.026692733433768545,0.48513842990981576,2615215818513.0,8,-352547191019.0,-1008411128651.0,30.08059808318832,0.0,0.024484410437796426,1.0901930230904455
AAM.2019,0.0,0.03652109655209482,0.07073397732963853,-26824644663.0,2,-11987393988.0,46659630950.0,26.150451061626487,1.0,0.036839289646286674,0.9913626702021946
AAM.2020,0.0,-0.056765903213146285,0.07930149564575048,-24311448296.0,2,-1926144712.0,7545519668.0,26.074267028229155,1.0,-0.09757215138227238,0.5817838636225862
AAM.2021,0.0,0.001121452116038458,0.03362226694190401,45312490419.0,2,-9429836123.0,-34558290098.0,26.027006011870085,1.0,0.0016815263419892124,0.6669250953938684
AAM.2022,0.0,0.07731627654650843,0.04137290987979318,-3970805102.0,2,4568657956.0,17035691061.0,26.110415822874877,1.0,0.07971288481301579,0.9699344933742
AAM.2023,0.0,0.003303390612833694,0.048020639408048224,-24230847125.0,2,1509276524.0,25396400052.0,26.083887936451045,1.0,0.005049223871251165,0.6542373040027507
AAT.2019,0.0,0.03519355158131764,0.31617747127802664,32224153930.0,1,13093080304.0,4994707843.0,27.121660588739235,1.0,0.07134746706030128,0.4932698108479849
AAT.2020,0.0,0.024209938680942355,0.2671839102667925,1019204676.0,1,35583523207.0,-7342626845.0,27.08605913879898,1.0,0.04889766639257712,0.4951143984371722
AAT.2021,0.0,0.029503675979005738,0.3152485018846015,48150054552.0,1,117168883066.0,825631890.0,27.607355701303938,1.0,0.06089429161846622,0.484506432291902
AAT.2022,0.0,0.06552639129322937,0.3120377060702815,-238468566446.0,1,212135355349.0,-3712885220.0,27.662675567470135,2.0,0.07033273300812867,0.9316628046525107
AAT.2023,1.0,-0.002438916394033313,0.30031405940810385,41388654406.0,1,-29870252223.0,13471801292.0,27.642298351401802,1.0,-0.004115387693039042,0.5926334469431908
