id,code,year,fraud,profit_sales,sales_totalasset,roa,leverage,account_receivable,account_payable,inventory,sales,firm_size,totalasset,name_auditor,name_auditor_before,audit,industry,totaldebt,ni,operate_cashflow
AAA.2017,AAA,2017,0,0.0646,0.8909,0.0576,0.6449,"505,813,456,780","828,322,963,764","86,090,443,336","4,076,763,652,003",29.15,"4,576,157,128,799",IFC,IFC,1,Materials,"2,951,186,840,177","263,364,105,956","-80,663,604,042"
AAA.2018,AAA,2018,0,0.0265,1.0650,0.0282,0.6042,"672,788,445,423","1,597,729,733,535","326,067,505,241","8,018,827,145,835",29.65,"7,529,166,722,403",VACO,IFC,2,Materials,"4,548,916,573,712","212,148,913,561","38,540,777,944"
AAA.2019,AAA,2019,0,0.0529,1.1616,0.0615,0.5925,"541,476,888,008","183,299,391,649","358,753,736,223","9,278,251,727,409",29.71,"7,987,454,158,531",EY,VACO,0,Materials,"4,732,215,965,361","491,028,872,669","489,340,910,473"
AAA.2020,AAA,2020,0,0.0381,0.8680,0.0330,0.5304,"-332,565,586,570","-186,764,022,954","-274,693,587,053","7,438,249,657,913",29.78,"8,569,414,400,908",EY,EY,0,Materials,"4,545,451,942,407","283,172,810,679","612,538,718,206"
AAA.2021,AAA,2021,0,0.0246,1.3141,0.0324,0.4551,"231,354,105,390","9,692,955,834","50,575,455,825","13,154,009,928,330",29.93,"10,009,526,635,291",EY,EY,0,Materials,"4,555,144,898,241","324,143,024,419","443,620,282,772"
AAA.2022,AAA,2022,0,0.0077,1.4186,0.0109,0.4284,"-434,702,202,542","69,502,366,006","792,706,522,419","15,314,698,238,896",30.01,"10,795,832,681,712",EY,EY,0,Materials,"4,624,647,264,247","117,291,267,937","97,095,210,426"
AAA.2023,AAA,2023,0,0.0245,1.0902,0.0267,0.4851,"-352,547,191,019","994,927,301,439","-1,008,411,128,651","12,628,191,473,898",30.08,"11,583,445,505,916",EY,EY,0,Materials,"5,619,574,565,686","309,193,823,134","2,615,215,818,513"
AAM.2017,AAM,2017,0,0.0050,0.8976,0.0045,0.0422,"-13,327,223,789","-2,321,762,690","-49,280,005,081","225,795,571,644",26.25,"251,560,593,521",A&C,A&C,1,Consumer Staples,"10,603,590,916","1,131,598,086","57,140,442,047"
AAM.2018,AAM,2018,0,0.0436,0.9563,0.0417,0.0795,"-23,571,042,276","7,676,391,042","17,889,076,709","219,916,892,024",26.16,"229,959,036,787",A&C,A&C,1,Consumer Staples,"18,279,981,958","9,591,230,681","16,775,750,106"
AAM.2019,AAM,2019,0,0.0368,0.9914,0.0365,0.0707,"-11,987,393,988","-2,187,439,107","46,659,630,950","225,542,898,242",26.15,"227,507,959,520",A&C,A&C,1,Consumer Staples,"16,092,542,851","8,308,840,156","-26,824,644,663"
AAM.2020,AAM,2020,0,-0.0976,0.5818,-0.0568,0.0793,"-1,926,144,712","625,739,988","7,545,519,668","122,651,245,150",26.07,"210,819,262,649",A&C,A&C,1,Consumer Staples,"16,718,282,839","-11,967,345,859","-24,311,448,296"
AAM.2021,AAM,2021,0,0.0017,0.6669,0.0011,0.0336,"-9,429,836,123","-9,957,264,977","-34,558,290,098","134,110,305,244",26.03,"201,087,507,683",A&C,A&C,1,Consumer Staples,"6,761,017,862","225,510,011","45,312,490,419"
AAM.2022,AAM,2022,0,0.0797,0.9699,0.0773,0.0414,"4,568,657,956","2,282,253,840","17,035,691,061","212,007,837,549",26.11,"218,579,542,224",A&C,A&C,1,Consumer Staples,"9,043,271,702","16,899,756,334","-3,970,805,102"
AAM.2023,AAM,2023,0,0.0050,0.6542,0.0033,0.0480,"1,509,276,524","1,178,273,085","25,396,400,052","139,259,201,598",26.08,"212,857,323,705",A&C,A&C,1,Consumer Staples,"10,221,544,787","703,150,885","-24,230,847,125"
AAT.2017,AAT,2017,0,0.0126,0.1971,0.0025,0.4007,"56,878,742,525","-4,781,259,806","1,082,892,108","120,301,104,114",27.14,"610,272,186,883",AVA,AVA,1,Consumer Discretionary,"244,514,162,328","1,514,265,452","79,800,528,250"
AAT.2018,AAT,2018,0,0.0812,0.4983,0.0404,0.3430,"-4,885,037,199","-41,017,110,535","1,534,658,680","295,584,707,203",27.11,"593,245,038,424",AVA,AVA,1,Consumer Discretionary,"203,497,051,793","23,989,962,076","70,723,096,858"
AAT.2019,AAT,2019,0,0.0713,0.4933,0.0352,0.3162,"13,093,080,304","-13,512,427,005","4,994,707,843","296,395,817,053",27.12,"600,879,702,213",AVA,AVA,1,Consumer Discretionary,"189,984,624,788","21,147,090,794","32,224,153,930"
AAT.2020,AAT,2020,0,0.0489,0.4951,0.0242,0.2672,"35,583,523,207","-35,054,338,997","-7,342,626,845","287,098,931,865",27.09,"579,863,831,008",AVA,AVA,1,Consumer Discretionary,"154,930,285,791","14,038,467,792","1,019,204,676"
AAT.2021,AAT,2021,0,0.0609,0.4845,0.0295,0.3152,"117,168,883,066","152,945,315,064","825,631,890","473,174,997,084",27.61,"976,612,415,331",AVA,AVA,1,Consumer Discretionary,"307,875,600,855","28,813,656,259","48,150,054,552"
AAT.2022,AAT,2022,0,0.0703,0.9317,0.0655,0.3120,"212,135,355,349","14,197,481,890","-3,712,885,220","961,625,809,112",27.66,"1,032,160,782,109",UHY,AVA,2,Consumer Discretionary,"322,073,082,745","67,633,771,286","-238,468,566,446"
AAT.2023,AAT,2023,1,-0.0041,0.5926,-0.0024,0.3003,"-29,870,252,223","-18,353,142,609","13,471,801,292","599,354,540,320",27.64,"1,011,341,063,201",UHY,UHY,1,Consumer Discretionary,"303,719,940,136","-2,466,576,299","41,388,654,406"
AAV.2017,AAV,2017,0,0.0909,0.6620,0.0602,0.5507,"20,042,084,176","3,856,652,162","-3,363,984,280","244,738,549,346",26.64,"369,685,784,116",AASC,AASC,1,Real Estate,"203,573,230,794","22,254,098,321","5,112,236,083"
AAV.2018,AAV,2018,0,0.0783,1.2031,0.0942,0.4907,"-20,596,553,830","-12,131,348,416","5,842,891,410","469,405,732,945",26.69,"390,152,649,178",TTP,AASC,2,Real Estate,"191,441,882,378","36,765,880,123","17,300,262,930"
AAV.2019,AAV,2019,0,0.0562,0.9314,0.0523,0.3663,"172,592,231,890","24,199,169,791","-4,360,542,906","548,359,366,987",27.10,"588,735,324,160",TTP,TTP,1,Real Estate,"215,641,052,169","30,804,265,918","-74,268,460,856"
AAV.2020,AAV,2020,0,0.0444,0.5388,0.0239,0.3550,"19,774,870,664","-2,397,910,695","-5,725,427,596","323,663,812,902",27.12,"600,719,705,478",TTP,TTP,1,Real Estate,"213,243,141,474","14,382,292,014","-24,449,609,505"
AAV.2021,AAV,2021,0,0.0602,0.5049,0.0304,0.1867,"346,373,064,901","-28,044,546,771","-4,589,355,370","500,844,443,428",27.62,"991,979,409,314",TTP,TTP,1,Real Estate,"185,198,594,703","30,173,648,207","-369,349,456,800"
AAV.2022,AAV,2022,0,0.0071,0.4598,0.0033,0.2506,"91,898,706,660","85,330,652,385","-4,216,775,937","496,455,980,482",27.71,"1,079,605,282,967",TTP,TTP,1,Real Estate,"270,529,247,088","3,516,456,338","-29,951,178,675"
AAV.2023,AAV,2023,0,-0.2370,0.0796,-0.0189,0.1505,"-123,836,816,673","-132,326,333,710","-3,237,773,856","73,112,403,857",27.55,"918,101,485,490",TTP,TTP,1,Real Estate,"138,202,913,378","-17,328,079,341","30,319,080,247"
ABR.2017,ABR,2017,0,0.0270,0.7374,0.0199,0.1225,"1,568,642,800","2,484,046,397","-1,466,403,933","28,484,385,520",24.38,"38,629,869,905",Vietvalues,Vietvalues,1,Industrials,"4,731,830,947","769,413,740","3,938,491,850"
ABR.2018,ABR,2018,0,0.0813,0.5905,0.0480,0.0744,"-1,804,862,736","-2,055,536,233","1,116,958,907","21,250,147,000",24.31,"35,989,674,403",Vietvalues,Vietvalues,1,Industrials,"2,676,294,714","1,726,638,600","2,306,843,877"
ABR.2019,ABR,2019,0,0.3105,0.1047,0.0325,0.1808,"4,346,549,617","44,045,428,156","-2,533,927,225","27,047,585,936",26.28,"258,433,508,498",Vietvalues,Vietvalues,1,Industrials,"46,721,722,870","8,398,405,939","-77,857,467,195"
ABR.2020,ABR,2020,0,0.2517,0.3479,0.0876,0.1629,"-2,549,094,805","-719,242,339","1,294,522,200","98,258,258,741",26.37,"282,442,902,551",Vietvalues,Vietvalues,1,Industrials,"46,002,480,531","24,728,636,392","23,161,850,947"
ABR.2021,ABR,2021,0,0.2120,0.2917,0.0618,0.1816,"21,071,230,707","10,747,263,240","-1,160,441,672","91,154,043,167",26.47,"312,514,908,356",Vietvalues,Vietvalues,1,Industrials,"56,749,743,771","19,324,742,565","13,258,202,571"
ABR.2022,ABR,2022,0,0.2821,0.2799,0.0790,0.2338,"14,010,489,347","30,277,057,115","12,008,320","104,178,591,209",26.64,"372,182,711,927",Vietvalues,Vietvalues,1,Industrials,"87,026,800,886","29,390,746,456","48,357,365,073"
ABR.2023,ABR,2023,0,0.5772,0.1398,0.0807,0.1769,"-14,066,767,777","-19,083,591,770","-419,821,256","53,676,044,563",26.67,"384,081,525,372",Vietvalues,Vietvalues,1,Industrials,"67,943,209,116","30,982,405,215","13,845,315,508"
ABS.2017,ABS,2017,0,0.0516,1.0538,0.0544,0.3632,"47,255,370,395","34,666,181,137","17,453,372,977","563,967,836,152",27.01,"535,152,262,001",NVT,NVT,1,Industrials,"194,358,579,715","29,104,790,018","-7,850,632,345"
ABS.2018,ABS,2018,0,0.0626,0.8136,0.0509,0.3622,"80,614,598,920","15,929,872,131","-37,326,461,991","472,413,878,399",27.09,"580,656,601,836",NVT,NVT,1,Industrials,"210,288,451,846","29,574,467,704","-19,507,565,460"
